strength,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
0.75,p08,1337,23.501,0.300982,0.29541,-1.430201,0.130608,0.155737,reports/experiments/exp5_sdxl/images/strength_0.75/p08_seed1337.png
1.0,p01,42,23.397,0.269238,0.245605,0.370261,0.0,0.050781,reports/experiments/exp5_sdxl/images/strength_1.0/p01_seed42.png
1.0,p01,123,23.292,0.311599,0.23645,0.471131,0.0,0.112884,reports/experiments/exp5_sdxl/images/strength_1.0/p01_seed123.png
1.0,p01,456,23.477,0.311094,0.23999,0.273419,0.0,0.114211,reports/experiments/exp5_sdxl/images/strength_1.0/p01_seed456.png
1.0,p01,789,23.624,0.303261,0.235352,0.368616,0.0,0.105148,reports/experiments/exp5_sdxl/images/strength_1.0/p01_seed789.png
1.0,p01,1337,23.545,0.325069,0.240356,0.426134,0.0,0.102458,reports/experiments/exp5_sdxl/images/strength_1.0/p01_seed1337.png
1.0,p02,42,23.453,0.330211,0.303955,1.152764,0.0,0.120047,reports/experiments/exp5_sdxl/images/strength_1.0/p02_seed42.png
1.0,p02,123,23.503,0.339784,0.303467,1.561795,0.0,0.114542,reports/experiments/exp5_sdxl/images/strength_1.0/p02_seed123.png
1.0,p02,456,23.459,0.348307,0.312988,1.623332,0.0,0.109715,reports/experiments/exp5_sdxl/images/strength_1.0/p02_seed456.png
1.0,p02,789,23.512,0.346875,0.304199,1.625015,0.0,0.157697,reports/experiments/exp5_sdxl/images/strength_1.0/p02_seed789.png
1.0,p02,1337,23.456,0.342887,0.304688,1.581057,0.0,0.107038,reports/experiments/exp5_sdxl/images/strength_1.0/p02_seed1337.png
1.0,p03,42,23.484,0.287843,0.319336,1.418336,0.0,0.032534,reports/experiments/exp5_sdxl/images/strength_1.0/p03_seed42.png
1.0,p03,123,23.548,0.304251,0.28125,1.335843,0.0,0.102013,reports/experiments/exp5_sdxl/images/strength_1.0/p03_seed123.png
1.0,p03,456,23.356,0.296079,0.287354,1.241666,0.0,0.12102,reports/experiments/exp5_sdxl/images/strength_1.0/p03_seed456.png
1.0,p03,789,23.468,0.30207,0.282471,1.351038,0.0,0.081152,reports/experiments/exp5_sdxl/images/strength_1.0/p03_seed789.png
1.0,p03,1337,23.446,0.297026,0.283447,1.152264,0.0,0.102047,reports/experiments/exp5_sdxl/images/strength_1.0/p03_seed1337.png
1.0,p04,42,23.445,0.32126,0.235596,-2.108441,0.0,0.017434,reports/experiments/exp5_sdxl/images/strength_1.0/p04_seed42.png
1.0,p04,123,23.264,0.324598,0.200928,-2.109591,0.0,0.11075,reports/experiments/exp5_sdxl/images/strength_1.0/p04_seed123.png
1.0,p04,456,23.457,0.32274,0.220215,-2.086066,0.0,0.126115,reports/experiments/exp5_sdxl/images/strength_1.0/p04_seed456.png
1.0,p04,789,23.504,0.340548,0.244507,-0.802511,0.0,0.111995,reports/experiments/exp5_sdxl/images/strength_1.0/p04_seed789.png
1.0,p04,1337,23.561,0.319233,0.221436,-2.047955,0.0,0.066024,reports/experiments/exp5_sdxl/images/strength_1.0/p04_seed1337.png
1.0,p05,42,23.376,0.390294,0.297852,0.226544,0.0,0.028515,reports/experiments/exp5_sdxl/images/strength_1.0/p05_seed42.png
1.0,p05,123,23.168,0.393308,0.307373,0.174355,0.0,0.148906,reports/experiments/exp5_sdxl/images/strength_1.0/p05_seed123.png
1.0,p05,456,23.379,0.374722,0.319092,-0.657928,0.0,0.080801,reports/experiments/exp5_sdxl/images/strength_1.0/p05_seed456.png
1.0,p05,789,23.566,0.355377,0.297119,-0.090501,0.0,0.111263,reports/experiments/exp5_sdxl/images/strength_1.0/p05_seed789.png
1.0,p05,1337,23.371,0.380407,0.312012,-0.290642,0.0,0.09015,reports/experiments/exp5_sdxl/images/strength_1.0/p05_seed1337.png
1.0,p06,42,23.35,0.297645,0.270508,0.483413,0.0,0.064307,reports/experiments/exp5_sdxl/images/strength_1.0/p06_seed42.png
1.0,p06,123,23.394,0.29475,0.285156,0.468053,0.0,0.320027,reports/experiments/exp5_sdxl/images/strength_1.0/p06_seed123.png
1.0,p06,456,23.43,0.29457,0.266846,0.480989,0.0,0.323072,reports/experiments/exp5_sdxl/images/strength_1.0/p06_seed456.png
1.0,p06,789,23.365,0.306628,0.286865,0.52306,0.0,0.215342,reports/experiments/exp5_sdxl/images/strength_1.0/p06_seed789.png
1.0,p06,1337,23.309,0.299923,0.281494,0.607768,0.0,0.185575,reports/experiments/exp5_sdxl/images/strength_1.0/p06_seed1337.png
