strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
1.0,pp_001,789,7.359,0.238013,0.0,0.275801,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_001_seed789.png
1.0,pp_001,1337,5.339,0.241337,0.0,0.323398,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_001_seed1337.png
1.0,pp_002,42,6.216,0.308297,0.0,0.193299,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_002_seed42.png
1.0,pp_002,123,6.179,0.306124,0.0,0.133029,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_002_seed123.png
1.0,pp_002,456,6.113,0.307447,0.0,0.18422,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_002_seed456.png
1.0,pp_002,789,6.247,0.322499,0.0,0.139289,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_002_seed789.png
1.0,pp_002,1337,6.391,0.317177,0.0,0.179455,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_002_seed1337.png
1.0,pp_003,42,6.186,0.274093,0.0,0.221837,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_003_seed42.png
1.0,pp_003,123,6.181,0.304132,0.0,0.2202,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_003_seed123.png
1.0,pp_003,456,6.217,0.284464,0.0,0.218773,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_003_seed456.png
1.0,pp_003,789,6.238,0.256144,0.0,0.306549,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_003_seed789.png
1.0,pp_003,1337,6.233,0.27634,0.0,0.258658,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_003_seed1337.png
1.0,pp_004,42,6.495,0.373869,0.0,0.324369,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_004_seed42.png
1.0,pp_004,123,6.113,0.369904,0.0,0.246129,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_004_seed123.png
1.0,pp_004,456,6.159,0.355949,0.0,0.328939,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_004_seed456.png
1.0,pp_004,789,6.129,0.365027,0.0,0.310845,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_004_seed789.png
1.0,pp_004,1337,6.485,0.377726,0.0,0.416945,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_004_seed1337.png
1.0,pp_005,42,6.163,0.368143,0.0,0.202483,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_005_seed42.png
1.0,pp_005,123,6.099,0.362164,0.0,0.138776,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_005_seed123.png
1.0,pp_005,456,6.177,0.327284,0.0,0.219615,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_005_seed456.png
1.0,pp_005,789,6.435,0.362166,0.0,0.215623,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_005_seed789.png
1.0,pp_005,1337,6.312,0.366606,0.0,0.228036,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_005_seed1337.png
1.0,pp_006,42,6.454,0.290929,0.0,0.159705,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_006_seed42.png
1.0,pp_006,123,5.806,0.303081,0.0,0.243308,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_006_seed123.png
1.0,pp_006,456,5.355,0.294962,0.0,0.386958,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_006_seed456.png
1.0,pp_006,789,5.512,0.298811,0.0,0.205021,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_006_seed789.png
1.0,pp_006,1337,5.057,0.304081,0.0,0.20849,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_006_seed1337.png
1.0,pp_007,42,5.102,0.327433,0.0,0.387842,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_007_seed42.png
1.0,pp_007,123,5.054,0.316161,0.0,0.28863,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_007_seed123.png
1.0,pp_007,456,5.091,0.289965,0.0,0.307269,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_007_seed456.png
1.0,pp_007,789,5.077,0.303006,0.0,0.330025,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_007_seed789.png
1.0,pp_007,1337,5.076,0.314931,0.0,0.379843,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_007_seed1337.png
1.0,pp_008,42,5.084,0.315868,0.0,0.419362,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_008_seed42.png
1.0,pp_008,123,5.112,0.25547,0.0,0.27219,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_008_seed123.png
1.0,pp_008,456,5.08,0.286393,0.0,0.237588,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_008_seed456.png
1.0,pp_008,789,5.171,0.281242,0.0,0.502408,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_008_seed789.png
1.0,pp_008,1337,5.119,0.267479,0.0,0.239335,reports/experiments/exp5_controlnet_strength/images/strength_1.0/pp_008_seed1337.png
