cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
7,p01_portrait,456,5.13,0.283779,0.0,0.190703,reports/experiments/exp3_cfg_sweep/images/cfg_7/p01_portrait_seed456.png
7,p01_portrait,789,5.168,0.328849,0.0,0.338063,reports/experiments/exp3_cfg_sweep/images/cfg_7/p01_portrait_seed789.png
7,p01_portrait,1337,5.068,0.340551,0.0,0.168921,reports/experiments/exp3_cfg_sweep/images/cfg_7/p01_portrait_seed1337.png
7,p02_landscape,42,5.034,0.334314,0.0,0.214842,reports/experiments/exp3_cfg_sweep/images/cfg_7/p02_landscape_seed42.png
7,p02_landscape,123,5.041,0.306206,0.0,0.169918,reports/experiments/exp3_cfg_sweep/images/cfg_7/p02_landscape_seed123.png
7,p02_landscape,456,5.133,0.318475,0.0,0.21442,reports/experiments/exp3_cfg_sweep/images/cfg_7/p02_landscape_seed456.png
7,p02_landscape,789,5.164,0.312012,0.0,0.300638,reports/experiments/exp3_cfg_sweep/images/cfg_7/p02_landscape_seed789.png
7,p02_landscape,1337,5.074,0.325777,0.0,0.177934,reports/experiments/exp3_cfg_sweep/images/cfg_7/p02_landscape_seed1337.png
7,p03_abstract,42,5.104,0.305876,0.0,0.332035,reports/experiments/exp3_cfg_sweep/images/cfg_7/p03_abstract_seed42.png
7,p03_abstract,123,5.162,0.309965,0.0,0.399362,reports/experiments/exp3_cfg_sweep/images/cfg_7/p03_abstract_seed123.png
7,p03_abstract,456,4.909,0.329056,0.0,0.405821,reports/experiments/exp3_cfg_sweep/images/cfg_7/p03_abstract_seed456.png
7,p03_abstract,789,4.782,0.32972,0.0,0.264998,reports/experiments/exp3_cfg_sweep/images/cfg_7/p03_abstract_seed789.png
7,p03_abstract,1337,5.281,0.335579,0.0,0.430081,reports/experiments/exp3_cfg_sweep/images/cfg_7/p03_abstract_seed1337.png
7,p04_text,42,5.091,0.307197,0.0,0.458197,reports/experiments/exp3_cfg_sweep/images/cfg_7/p04_text_seed42.png
